Round																	Score	Move
1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	UP
2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	UP
3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	RIGHT
4	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	4	RIGHT
5	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	RIGHT
6	0	0	2	1	0	0	1	2	1	0	0	0	0	0	0	0	0	LEFT
7	2	1	0	0	1	2	0	0	1	0	0	0	0	0	0	1	4	UP
8	2	1	0	1	2	2	0	0	0	0	0	0	0	0	0	1	12	LEFT
9	2	2	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	DOWN
10	0	0	0	0	2	1	0	0	3	0	0	0	1	2	1	0	0	RIGHT
11	0	0	0	0	0	0	2	1	0	1	0	3	0	1	2	1	0	LEFT
12	0	0	0	0	2	1	1	0	1	3	0	0	1	2	1	0	4	LEFT
13	0	0	0	0	2	2	0	0	1	3	0	0	1	2	1	2	4	UP
14	2	2	1	2	2	3	0	2	0	2	0	0	0	0	0	0	8	RIGHT
15	0	3	1	2	0	2	3	2	0	0	0	2	1	0	0	0	0	LEFT
16	3	1	2	0	2	3	2	0	2	0	1	0	1	0	0	0	0	LEFT
17	3	1	2	1	2	3	2	0	2	1	0	0	1	0	0	0	16	DOWN
18	1	0	0	0	3	1	0	0	3	3	0	0	1	1	3	1	16	UP
19	1	1	3	1	4	3	0	0	1	1	0	0	1	0	0	0	4	UP
20	1	1	3	1	4	3	0	0	2	1	0	0	0	2	0	0	0	DOWN
21	0	1	0	0	1	3	0	0	4	1	1	0	2	2	3	1	0	UP
22	1	1	1	1	4	3	3	0	2	1	0	0	0	2	1	0	0	UP
23	1	1	1	1	4	3	3	0	2	1	1	2	0	2	0	0	28	RIGHT
24	1	0	2	2	0	0	4	4	0	2	2	2	0	0	0	2	8	DOWN
25	1	0	0	0	0	0	2	2	0	0	4	4	1	2	2	3	4	UP
26	2	2	2	2	0	0	4	4	0	1	2	3	0	0	0	0	0	UP
27	2	2	2	2	0	1	4	4	0	0	2	3	1	0	0	0	0	DOWN
28	0	0	0	0	0	1	2	2	2	2	4	4	1	1	2	3	52	LEFT
