1,1506.988
2,1427.376
3,1194.312
4,1261.4
5,1211.348
6,1244.524
7,1279.532
8,1365.596
9,1415.504
10,1437.836
11,1476.22
12,1512.708
13,1604.936
14,1628.756
15,1674.12
16,1724.788
17,1768.964
18,1830.66
19,1874.584
20,2010.56
21,1978.096
22,2065.336
23,2083.972
24,2172.768
25,2181.316
26,2308.504
27,2348.492
28,2389.076
29,2474.824
30,2510.68
31,2565.244
32,2636.1
33,2753.216
34,2779.78
35,2881.656
36,2785.628
37,2931.02
38,2918.684
39,2908.856
40,2955.284
41,3040.168
42,3020.248
43,3162.852
44,3071.956
45,3046.288
46,3118.1
47,3216.384
48,3190.148
49,3259.196
50,3248.84
51,3223.432
52,3275.736
53,3353.684
54,3375.732
55,3381.404
56,3459.04
57,3478.72
58,3512.12
59,3651.476
60,3543.412
61,3661.284
62,3672.696
63,3729.504
64,3774.596
65,3682.056
66,3783.108
67,3717.248
68,3749.284
69,3849.04
70,3784.976
71,3976.268
72,3862.912
73,3952.264
74,3923.456
75,3980.196
76,3947.068
77,4037.46
78,4115.54
79,4063.96
80,4062.468
81,4076.688
82,4151.8
83,4165.46
84,4181.404
85,4185.06
86,4197.984
87,4251.268
88,4173.008
89,4254.668
90,4327.316
91,4297.236
92,4424.832
93,4379.1
94,4346.676
95,4412.02
96,4498.548
97,4476.764
98,4423.836
99,4424.368
100,4548.156
